index,target,tags,irrelevant_tags
10035,100,bed | bedcover | birthday | black | dog | goggles | gray | neckband | party hat | sit | wear,bed | sit | party hat | bedcover | wear | black | birthday | gray | goggles
2308,23,german shepherd | animal | sheepdog | dog | field | floor | grass | grassy | gray | green | lush | shepherd | sit,shepherd | green | animal | field | sit | sheepdog | lush | gray | german shepherd | grass | floor | grassy
1459,14,armchair | black | brown | catch | chair | daybed | couch | dachshund | dog | goggles | lap | man | pet | sit,chair | daybed | couch | sit | catch | armchair | man | black | brown | goggles | lap
9144,91,animal | boxer | brown | bulldog | dog | leash | neckband | stand | stare | white,stand | animal | stare | brown | white | boxer
1694,16,beagle | brown | chase | dog | field | grass | grassy | hillside | play | run | walk | wood,walk | wood | field | hillside | play | brown | grass | run | chase | grassy | beagle
1292,12,brown | dachshund | dog | grass | grassy | green | leash | lush | neckband | patch | pink | sit | stare,green | patch | sit | grass | stare | lush | brown | pink | grassy
10365,103,black | brown | carpet | cement | sheepdog | dog | floor | fur | lay | paw | shepherd,shepherd | cement | sheepdog | lay | black | brown | carpet | floor
4989,49,couch | dog | hat | person | lap | lay | pet | pillow | relax | wear | white | woman,couch | woman | hat | wear | pillow | lay | relax | white | lap | person
6932,69,bed | blanket | brown | bureau | cat bed | dog | dog bed | dresser | lay | pillow | toy,bed | cat bed | bureau | pillow | lay | dresser | brown | blanket
848,8,boardwalk | boxer | bridge | brown | dog | path | leash | neckband | stand | swamp | tree | walk | wood,stand | walk | wood | swamp | bridge | path | boardwalk | brown | tree | boxer
7713,77,animal | blanket | sheepdog | dog | floor | fur | gray | leash | mud | puddle | stand | walk | wool,stand | walk | animal | puddle | wool | blanket | sheepdog | gray | floor | mud
3427,34,beagle | brown | cabinet | counter top | dog | floor | kitchen | kitchen counter | kitchen floor | stand | stare | stool | white,stand | counter top | kitchen floor | kitchen counter | stare | stool | cabinet | brown | white | kitchen | floor | beagle
416,4,ball | bed | blanket | blue | dog | lay | mouth | teething ring | paw | pillow | toy | white,bed | blue | ball | pillow | lay | teething ring | white | blanket
5225,52,beagle | carpet | cheese | dog | floor | lay | paw | toy | white,cheese | lay | carpet | white | floor | beagle
3829,38,animal | beagle | brown | dog | dog breed | miniature | stuff | toy,miniature | animal | brown | stuff | beagle
1238,12,bed | blanket | brown | comfort | dog | lay | mouth | pillow | stare,bed | comfort | stare | pillow | lay | brown | blanket
3670,36,animal | blue | brown | couch | dog | dress | lap | lay | paw | pillow | shirt | sleepwear | stuff | toy | wear,couch | animal | blue | dress | sleepwear | shirt | wear | pillow | lay | brown | stuff | lap
2331,23,area | dog | floor | husky | leash | stone | stand | tail | trail | walk | wood,stand | walk | stone | wood | husky | area | trail | floor
11542,115,black | brown | dog | field | grass | grassy | green | hide | lay | lush | poodle,green | field | poodle | lay | black | lush | brown | hide | grass | grassy
9761,97,animal | blue | brown | close-up | dog | eye | floor | husky | stare,animal | blue | stare | husky | eye | brown | floor | close-up
5450,54,black | dog | laboratory | sea | swim | water,sea | swim | water | laboratory | black
3978,39,baby | bend | check | dog | floor | hardwood floor | man | pet | play | sleepwear | toy | white | wood floor,floor | check | sleepwear | baby | hardwood floor | play | wood floor | man | white | bend
1261,12,bed | brown | bureau | carpet | cat bed | dog | dog bed | floor | lay | mat | play | shirt | stand | sweater | wear | wood floor | wrestle,bed | wrestle | cat bed | stand | shirt | wood floor | bureau | play | wear | lay | sweater | brown | carpet | floor | mat
2785,27,armchair | blanket | brown | chair | couch | dog | dress | hood | hoodie | lay | neckband | paw | pillow | robe | sweatshirt | wear,chair | couch | sweatshirt | robe | hood | hoodie | armchair | wear | blanket | pillow | lay | brown | dress
9065,90,black | blanket | brown | chair | dog | grass | hang | mouth | neckband | sit | white,chair | sit | grass | hang | black | brown | white | blanket
741,7,beagle | black | brown | chihuahua | dog | grass | grassy | green | lush | neckband | stand | white,stand | green | grass | lush | chihuahua | black | brown | white | grassy | beagle
6964,69,armchair | blanket | blue | brown | chair | couch | curl | pad | dog | hassock | lay | pillow | red | sleep,chair | couch | blue | red | armchair | curl | pad | blanket | pillow | lay | hassock | brown | sleep
2344,23,carpet | sheepdog | dog | doorway | floor | gray | husky | room | shepherd | stand | stare,stand | shepherd | stare | husky | doorway | sheepdog | carpet | gray | floor | room
7209,72,bite | black | catch | CD | sheepdog | dog | floor | frisbee | hardwood floor | lay | mouth | paw | play | red | shepherd | toy | wood floor,shepherd | catch | red | hardwood floor | play | wood floor | sheepdog | lay | black | bite | floor | CD | frisbee
11237,112,black | box | broom | bureau | cardboard box | carpet | dog | drawer | dresser | floor | lay | mat | swab | pencil | pet | sit | tool | toy | vacuum | white,pencil | sit | mat | broom | cardboard box | bureau | vacuum | lay | black | box | dresser | drawer | carpet | white | floor | swab | tool
5736,57,bow tie | dog | laboratory | labrador | neckband | sit | stare,stare | laboratory | bow tie | sit
10003,100,beagle | black | bow | bow tie | brown | dog | fur | hair | leash | neckband | stand,stand | bow | black | brown | bow tie | beagle
10207,102,black | brown | bulldog | dog | floor | grass | green | lush | pug | sit | stare,pug | green | sit | stare | lush | black | brown | grass | floor
9557,95,animal | black | catch | dog | dog breed | person | leash | man | neckband | stand,stand | animal | catch | man | black | person
1896,18,sheepdog | dog | doorway | floor | greyhound | mouth | plant | pot | stand | white,stand | pot | doorway | greyhound | sheepdog | white | floor | plant
9133,91,boxer | brown | chair | couch | pad | dog | dog bed | floor | green | hardwood floor | hassock | lay | paw | pillow | relax | stool | wood floor,chair | green | couch | hardwood floor | pad | stool | pillow | lay | hassock | relax | wood floor | brown | floor | boxer
5933,59,brown | carpet | dog | floor | lay | paw | stare | white,stare | lay | brown | carpet | white | floor
147,1,animal | black | carpet | cat | floor | grass | green | lush | pet | stand | white,stand | cat | green | animal | grass | lush | black | carpet | white | floor
5642,56,beach | brown | dog | sea | retriever | sand | stand | stare | sun | sunset,sand | stand | sun | sea | beach | stare | sunset | brown
4639,46,black | blanket | dog | floor | lay | leash | neckband | sit | snow,snow | sit | lay | black | floor | blanket
11013,110,box | brown | dog | home appliance | package | shelf | stack | stand,stand | stack | home appliance | shelf | package | box | brown
9198,91,ball | bite | boxer | brown | carpet | dog | floor | lay | mouth | nose | paw | pink | play | red | toy,ball | red | play | lay | bite | brown | carpet | pink | floor | boxer
9217,92,boxer | brown | bulldog | carpet | dog | floor | lay | paw | pug | relax,pug | relax | lay | brown | carpet | floor | boxer
4672,46,beach | beagle | black | brown | dog | mouth | sea | sand | schnauzer | stand | wet,sand | stand | sea | beach | black | brown | wet | beagle
5077,50,brown | dog | floor | fur | hair | hang | mouth | sit | white,sit | hang | brown | white | floor
10147,101,armchair | blue | brown | chair | couch | pad | dog | dog bed | lay | paw | pillow | relax,chair | couch | blue | armchair | pad | pillow | lay | relax | brown
2109,21,dog | grass | greyhound | hammock | lush | stand | white | yard,stand | hammock | grass | yard | greyhound | lush | white
6254,62,backyard | brown | dog | grass | grassy | green | lawn | leash | lush | stand | walk | yard,stand | walk | green | lawn | yard | lush | backyard | brown | grass | grassy
5227,52,basket | lamp | carpet | dog | floor | lay | sit | stool | toy | white,sit | lamp | stool | lay | carpet | white | floor | basket
6038,60,animal | blue | brown | close-up | dog | eye | floor | leash | neckband | nose | stand | stare,stand | animal | blue | stare | eye | brown | floor | close-up
10736,107,ball | blue | brown | catch | chihuahua | dog | floor | hardwood floor | mouth | play | pomeranian | stand | stool | toy | wood floor,stand | blue | ball | catch | hardwood floor | play | stool | wood floor | chihuahua | brown | pomeranian | floor
5038,50,brown | bush | dog | flower | flower bed | fur | plant | sit | stand | tan | white,stand | sit | bush | flower | brown | white | flower bed | plant
6050,60,armchair | blanket | brown | chair | couch | pad | dog | dog bed | lay | neckband | pillow | red | relax | sit,chair | couch | sit | red | armchair | pad | pillow | lay | relax | brown | blanket
443,4,building | concrete | curb | dog | leash | ledge | neckband | sit | wear | white,building | sit | concrete | curb | wear | white | ledge
10242,102,brown | brush | bulldog | dog | dry | field | grass | grassy | pug | stand | walk | white,stand | brush | walk | pug | field | grass | brown | white | dry | grassy
10366,103,sheepdog | dog | person | judge | leash | man | pet | shepherd | stand | woman,stand | shepherd | woman | sheepdog | man | person | judge
8938,89,animal | bed | black | blanket | brown | dog | dog bed | floor | lay | paw | pillow | play | sleep | stuff | toy | white,bed | animal | stuff | play | blanket | pillow | lay | black | brown | white | floor | sleep
6349,63,animal | black | brown | bush | dog | fur | stand | stare,stand | animal | bush | stare | black | brown
731,7,animal | black | catch | chihuahua | dog | doll | person | lap | pet | pink | stand | stuff | teddy | toy | white,stand | doll | animal | catch | stuff | teddy | person | chihuahua | black | white | lap | pink
6976,69,brown | cocker | rope | dog | floor | person | leash | man | pet | squat | woman,squat | woman | man | brown | cocker | floor | person
9583,95,animal | black | brown | dog | dog breed | field | grass | grassy | leash | lush | neckband | stand | white,stand | animal | field | grass | lush | black | brown | white | grassy
4193,41,beagle | brown | dog | path | grass | grassy | green | lush | mouth | park | run | tan | walk,walk | green | park | lush | path | brown | grass | run | grassy | beagle
8489,84,german shepherd | brown | carpet | sheepdog | dog | doorway | floor | glass door | neckband | paw | screen door | shepherd | sit | stare | tan,shepherd | sit | floor | stare | doorway | screen door | sheepdog | brown | carpet | german shepherd | glass door
