index,target,tags,irrelevant_tags
11270,0,apple,apple
4137,2,mountain,mountain
36801,3,equation,equation
8491,0,apple,apple
56709,0,apple,apple
5586,6,satellite,satellite
37460,3,equation,equation
21455,3,equation,equation
5866,8,nebula,nebula
40606,3,equation,equation
46296,0,apple,apple
35632,2,mountain,mountain
32897,2,mountain,mountain
46795,3,equation,equation
9614,4,ocean,ocean
9844,6,satellite,satellite
49515,4,ocean,ocean
2855,6,satellite,satellite
52775,5,tiger,tiger
11006,2,mountain,mountain
30965,8,nebula,nebula
23334,3,equation,equation
14976,5,tiger,tiger
45445,4,ocean,ocean
19093,9,democracy,democracy
38018,7,wrench,wrench
43171,2,mountain,mountain
59670,6,satellite,satellite
13226,8,nebula,nebula
10897,4,ocean,ocean
51869,8,nebula,nebula
55772,4,ocean,ocean
51498,1,guitar,guitar
29227,7,wrench,wrench
27775,6,satellite,satellite
42170,9,democracy,democracy
8148,0,apple,apple
29379,2,mountain,mountain
20874,7,wrench,wrench
33225,2,mountain,mountain
16239,3,equation,equation
42755,5,tiger,tiger
27972,3,equation,equation
5279,5,tiger,tiger
53664,5,tiger,tiger
42334,4,ocean,ocean
13119,8,nebula,nebula
17990,0,apple,apple
27111,9,democracy,democracy
29883,1,guitar,guitar
48884,4,ocean,ocean
37862,0,apple,apple
46758,1,guitar,guitar
22046,5,tiger,tiger
15150,2,mountain,mountain
22457,7,wrench,wrench
11748,8,nebula,nebula
1015,7,wrench,wrench
36512,9,democracy,democracy
52286,3,equation,equation
43055,7,wrench,wrench
33825,4,ocean,ocean
12692,3,equation,equation
24569,6,satellite,satellite
16435,1,guitar,guitar
15996,8,nebula,nebula
20652,6,satellite,satellite
26053,1,guitar,guitar
34431,5,tiger,tiger
52216,2,mountain,mountain
51741,1,guitar,guitar
35790,9,democracy,democracy
26501,4,ocean,ocean
15625,7,wrench,wrench
52212,5,tiger,tiger
51936,3,equation,equation
25366,3,equation,equation
24029,4,ocean,ocean
20949,1,guitar,guitar
33840,8,nebula,nebula
58111,7,wrench,wrench
8920,0,apple,apple
15305,3,equation,equation
39803,8,nebula,nebula
59699,2,mountain,mountain
44282,8,nebula,nebula
20104,4,ocean,ocean
58697,9,democracy,democracy
11667,4,ocean,ocean
56171,8,nebula,nebula
18364,0,apple,apple
22503,2,mountain,mountain
19643,3,equation,equation
15688,4,ocean,ocean
921,7,wrench,wrench
23128,9,guitar,guitar
47634,5,tiger,tiger
51657,0,apple,apple
1487,1,guitar,guitar
47664,6,mountain,mountain
21846,9,democracy,democracy
8797,7,wrench,wrench
59314,2,mountain,mountain
45336,5,tiger,tiger
42972,1,guitar,guitar
37440,0,apple,apple
18032,8,nebula,nebula
28797,0,apple,apple
22446,7,wrench,wrench
21919,0,apple,apple
8553,0,apple,apple
758,6,satellite,satellite
31107,5,tiger,tiger
12932,3,equation,equation
49830,1,guitar,guitar
23840,3,democracy,democracy
14331,3,equation,equation
17862,2,mountain,mountain
7386,8,nebula,nebula
40246,7,wrench,wrench
46535,5,tiger,tiger
5948,9,democracy,democracy
34778,6,satellite,satellite
39092,0,apple,apple
32569,9,democracy,democracy
38027,7,wrench,wrench
20470,6,satellite,satellite
37804,9,democracy,democracy
58021,2,mountain,mountain
4495,2,mountain,mountain
51964,9,democracy,democracy
45412,6,satellite,satellite
50916,7,wrench,wrench
59778,3,equation,equation
47628,1,guitar,guitar
44067,5,tiger,tiger
35108,9,democracy,democracy
40838,7,wrench,wrench
20888,1,guitar,guitar
47592,8,nebula,nebula
43226,3,equation,equation
48876,3,equation,equation
49107,3,equation,equation
14319,6,satellite,satellite
4009,3,equation,equation
1230,6,satellite,satellite
39134,2,mountain,mountain
26365,6,satellite,satellite
2922,4,ocean,ocean
23007,6,satellite,satellite
11999,6,satellite,satellite
50428,7,wrench,wrench
27076,6,satellite,satellite
38711,3,equation,equation
56729,2,mountain,mountain
49188,9,democracy,democracy
57890,8,nebula,nebula
35578,8,nebula,nebula
27130,9,democracy,democracy
54278,1,guitar,guitar
27920,8,nebula,nebula
48042,1,guitar,guitar
31752,8,nebula,nebula
50188,7,wrench,wrench
35139,8,nebula,nebula
18045,0,apple,apple
16956,0,apple,apple
57353,3,equation,equation
57820,6,satellite,satellite
27888,4,ocean,ocean
39732,7,wrench,wrench
48563,6,satellite,satellite
11202,4,ocean,ocean
34808,2,mountain,mountain
20206,1,guitar,guitar
42060,9,democracy,democracy
55507,9,democracy,democracy
6341,6,satellite,satellite
37104,5,tiger,tiger
21468,9,democracy,democracy
552,1,guitar,guitar
12697,8,nebula,nebula
26657,3,equation,equation
33995,6,satellite,satellite
5261,7,wrench,wrench
41874,3,equation,equation
8268,8,nebula,nebula
41326,9,democracy,democracy
42355,2,mountain,mountain
51286,9,democracy,democracy
50397,8,nebula,nebula
56144,9,democracy,democracy
5613,7,wrench,wrench
55292,6,satellite,satellite
19834,2,mountain,mountain
49449,4,ocean,ocean
20708,1,guitar,guitar
58118,3,equation,equation
44466,7,wrench,wrench
44761,4,ocean,ocean
9295,7,wrench,wrench
37874,7,wrench,wrench
1563,1,guitar,guitar
56553,7,wrench,wrench
50045,5,tiger,tiger
41795,9,democracy,democracy
8523,2,mountain,mountain
45441,0,apple,apple
57970,0,apple,apple
40587,9,democracy,democracy
38992,6,satellite,satellite
37407,8,nebula,nebula
4201,6,satellite,satellite
35013,1,guitar,guitar
6792,1,guitar,guitar
34736,3,equation,equation
57778,5,tiger,tiger
25315,2,mountain,mountain
1863,2,mountain,mountain
11977,2,mountain,mountain
9559,5,tiger,tiger
46948,7,wrench,wrench
48095,7,wrench,wrench
43485,1,guitar,guitar
58348,2,mountain,mountain
50970,2,mountain,mountain
31425,2,mountain,mountain
28144,9,democracy,democracy
20292,9,democracy,democracy
48211,9,democracy,democracy
12067,3,equation,equation
59215,1,guitar,guitar
31735,0,apple,apple
43469,9,democracy,democracy
58123,2,mountain,mountain
28566,4,wrench,wrench
57494,3,equation,equation
3268,5,tiger,tiger
58395,4,ocean,ocean
46676,0,apple,apple
50598,2,mountain,mountain
23961,7,wrench,wrench
35406,9,democracy,democracy
57680,7,wrench,wrench
3319,7,wrench,wrench
30935,0,apple,apple
46755,3,equation,equation
29501,3,equation,equation
15275,5,tiger,tiger
10360,4,ocean,ocean
55689,3,equation,equation
56726,1,guitar,guitar
6308,0,apple,apple
16302,5,tiger,tiger
48819,7,wrench,wrench
39035,0,apple,apple
28148,1,guitar,guitar
16415,8,nebula,nebula
20817,2,mountain,mountain
56907,9,democracy,democracy
27694,1,guitar,guitar
35904,1,guitar,guitar
34612,7,wrench,wrench
3606,5,tiger,tiger
48776,1,guitar,guitar
13327,3,equation,equation
9935,1,guitar,guitar
11482,8,nebula,nebula
8563,0,apple,apple
32297,6,satellite,satellite
21478,7,wrench,wrench
34381,6,satellite,satellite
13498,8,nebula,nebula
32371,9,democracy,democracy
28111,0,apple,apple
58884,9,democracy,democracy
13033,7,wrench,wrench
32901,1,guitar,guitar
27163,7,wrench,wrench
602,1,guitar,guitar
48613,2,mountain,mountain
35501,4,ocean,ocean
37160,4,ocean,ocean
59817,4,ocean,ocean
26840,9,democracy,democracy
1426,2,mountain,mountain
632,4,ocean,ocean
407,7,wrench,wrench
6989,8,nebula,nebula
54607,3,equation,equation
38741,4,ocean,ocean
51599,0,apple,apple
11360,8,nebula,nebula
13676,1,guitar,guitar
11203,6,satellite,satellite
39630,4,ocean,ocean
38404,1,guitar,guitar
50139,1,guitar,guitar
8579,7,wrench,wrench
31132,5,tiger,tiger
2060,5,tiger,tiger
19695,5,tiger,tiger
18327,5,tiger,tiger
3045,6,satellite,satellite
33025,4,ocean,ocean
19257,4,ocean,ocean
59705,0,apple,apple
44817,9,democracy,democracy
42148,2,mountain,mountain
18540,8,nebula,nebula
32403,2,mountain,mountain
2880,8,nebula,nebula
38834,4,ocean,ocean
31052,5,tiger,tiger
39876,7,wrench,wrench
30078,8,nebula,nebula
39233,8,nebula,nebula
49197,8,nebula,nebula
32003,4,ocean,ocean
45396,7,wrench,wrench
9638,0,apple,apple
26099,6,satellite,satellite
15219,3,equation,equation
49614,1,guitar,guitar
30466,9,democracy,democracy
31722,5,tiger,tiger
23778,9,democracy,democracy
24489,9,democracy,democracy
19117,8,nebula,nebula
33540,2,mountain,mountain
44775,9,democracy,democracy
14127,3,equation,equation
44668,9,democracy,democracy
10040,1,guitar,guitar
44029,6,satellite,satellite
22400,0,apple,apple
17395,5,tiger,tiger
15970,6,satellite,satellite
7335,7,wrench,wrench
28113,3,equation,equation
54296,3,equation,equation
54227,7,wrench,wrench
56231,2,mountain,mountain
19571,5,tiger,tiger
34025,7,wrench,wrench
5469,7,wrench,wrench
53889,9,democracy,democracy
31635,6,satellite,satellite
37522,2,mountain,mountain
28595,4,ocean,ocean
11439,5,tiger,tiger
49735,7,wrench,wrench
50395,0,apple,apple
23125,9,democracy,democracy
7038,3,equation,equation
10364,2,mountain,mountain
28923,2,mountain,mountain
21635,8,equation,equation
51239,0,apple,apple
7730,4,ocean,ocean
47372,0,apple,apple
830,2,mountain,mountain
42350,7,wrench,wrench
44712,5,tiger,tiger
33665,2,mountain,mountain
38732,0,apple,apple
23910,8,nebula,nebula
31449,3,equation,equation
55192,3,equation,equation
55602,9,democracy,democracy
3979,9,democracy,democracy
20200,7,wrench,wrench
28407,6,satellite,satellite
45783,3,equation,equation
40465,5,satellite,satellite
26552,8,nebula,nebula
34881,1,guitar,guitar
26350,2,mountain,mountain
1442,7,wrench,wrench
9480,9,democracy,democracy
33963,4,ocean,ocean
51823,3,equation,equation
13057,4,ocean,ocean
14367,1,guitar,guitar
41918,9,democracy,democracy
48367,9,democracy,democracy
34498,0,apple,apple
52207,2,mountain,mountain
12763,4,ocean,ocean
28977,1,guitar,guitar
32734,2,mountain,mountain
56591,4,ocean,ocean
43203,7,wrench,wrench
40745,8,nebula,nebula
41804,5,tiger,tiger
32873,7,wrench,wrench
35655,3,equation,equation
49177,7,wrench,wrench
36878,1,guitar,guitar
12822,9,democracy,democracy
47109,7,wrench,wrench
13101,8,nebula,nebula
8835,9,democracy,democracy
11637,9,democracy,democracy
7474,6,satellite,satellite
39470,2,mountain,mountain
58997,5,tiger,tiger
37964,2,mountain,mountain
42731,7,wrench,wrench
36676,9,democracy,democracy
53865,1,guitar,guitar
23594,8,nebula,nebula
55347,0,apple,apple
18591,7,wrench,wrench
18440,7,wrench,wrench
26616,2,mountain,mountain
21644,0,apple,apple
45973,5,tiger,tiger
36647,1,guitar,guitar
56447,6,satellite,satellite
32386,8,nebula,nebula
18924,1,guitar,guitar
23039,2,mountain,mountain
3911,1,guitar,guitar
47993,9,democracy,democracy
47791,5,tiger,tiger
10228,1,guitar,guitar
55548,3,equation,equation
15772,6,satellite,satellite
10663,6,satellite,satellite
30759,5,tiger,tiger
32181,9,democracy,democracy
44206,6,satellite,satellite
15316,2,mountain,mountain
6939,9,democracy,democracy
37396,8,nebula,nebula
9796,6,satellite,satellite
35166,5,tiger,tiger
56611,0,apple,apple
43238,5,tiger,tiger
11605,8,nebula,nebula
4169,7,wrench,wrench
59468,1,guitar,guitar
8794,3,equation,equation
30952,1,guitar,guitar
29158,8,nebula,nebula
46433,4,ocean,ocean
16952,0,apple,apple
30839,9,democracy,democracy
46901,1,guitar,guitar
151,8,nebula,nebula
6119,9,democracy,democracy
52709,1,guitar,guitar
17889,1,guitar,guitar
54314,3,equation,equation
5941,0,apple,apple
19928,5,tiger,tiger
39407,0,apple,apple
15661,5,tiger,tiger
4666,0,apple,apple
49246,2,mountain,mountain
18252,0,apple,apple
46960,6,satellite,satellite
6774,6,satellite,satellite
39783,8,nebula,nebula
30421,7,wrench,wrench
30114,4,ocean,ocean
17451,0,apple,apple
36745,5,tiger,tiger
47955,7,wrench,wrench
13301,3,equation,equation
57807,6,satellite,satellite
45881,3,equation,equation
41020,5,tiger,tiger
25067,7,wrench,wrench
12309,2,mountain,mountain
19316,5,tiger,tiger
15665,4,ocean,ocean
33415,8,nebula,nebula
38080,4,ocean,ocean
18568,3,equation,equation
55098,9,democracy,democracy
35517,1,guitar,guitar
5608,1,guitar,guitar
26977,5,tiger,tiger
28657,3,equation,equation
26423,6,satellite,satellite
35988,1,guitar,guitar
