index,target,tags
23753,83,bell pepper | fruit | orange | pepper | red | vegetable | yellow
35458,14,bird | cardinal | green | greenery | hedge | lush | parrot | plant | red | tree | vegetation
777,75,car | dirt track | floor | miniature | motorcycle | toy | toy car
7816,35,boy | child | cowboy hat | floor | grass | hat | red | shirt | sit | straw hat | sun hat | toy car | wear
40318,49,boat | paddle | calm | canoe | kayak | lake | mountain | mountain lake | mountain view | tree | water
29165,70,flower | green | white | yellow
22513,9,alcohol | beverage | bottle | liquor | wine | label | vodka | whiskey | wine bottle
44295,15,animal | trumpet | head | ram | stare
47424,23,boat | calm | cloud | cloudy | fly | lake | sea | sky | water
11495,83,bell pepper | condiment | food | fruit | green | hot | pepper | produce | red | vegetable
43777,39,electronic | eraser | mouse | office supply | stapler | tool | white
6497,99,number | red | road sign | sign | stop sign | street sign | traffic sign
15218,28,backdrop | lamp | candle holder | cup | table lamp | lamp shade | liquid | white | wine glass
35685,22,plate | lid | toilet seat
39035,72,car | floor | puddle | yellow
43689,85,army tank | car | jeep | park | tank
30311,58,black | building | car | drive | park | pick up | road
36929,41,child | grass | green | lush | park | playground | swing | swinge | toy
33684,30,animal | cloud | cloudy | dolphin | fly | grampus | sea | pod | sky | swim | water | whale
25487,44,animal | green
31922,38,animal | car | floor | lay | tree
20456,91,bass | fin | fish | fly | jump | sea | salmon | sky | swim | water
9940,26,person | lap | man | octopus | subway
1508,61,beach ball | table | plate | green | icing | snowman | toy
2181,49,animal | cloudy | field | lush | mountain | sky | stand
40084,73,aquarium | diver | fish | sea | tank | swim | swimmer | underwater | water
49342,18,bug | butterfly | caterpillar | leaf | green | greenery | hide | insect | larva | lettuce | lush | monarch | moth | plant | stem
6439,6,ant | beetle | bug | flower | green | greenery | hide | insect | lush | nectar | plant | pollen | snail | stem | weed | white
28258,59,sky | tree
27176,17,building | skate park | skateboarder
9572,8,bicycle | container | dirt track | girl | person | man | ride | trailer truck | train car | woman
47167,77,sky | toy | yellow
18158,45,ant | bug | insect | mosquito | scorpion | spider | violin
37645,4,person | skate | man | sea | ride | skateboard | skateboarder | skater | stand | trick | walk | water
36297,70,bloom | bud | bush | close-up | flower | garden | greenery | lush | pink | plant | red | rose | stem
38866,78,animal | number | tree
36701,59,lush | pole | sky | street sign | tree
18795,26,wall | climb | climber | floor | person | man | rock climbing | woman
27083,47,baseball glove | bat | green | lush | man | park | park bench | swing | tree
27879,64,animal | cat | face | pet | possum | stare | white
39195,29,animal | trumpet | dinosaur | mammal | tail | unicorn
44494,50,animal | blade | floor | grass | green | hamster | hide | lush | mouse | pet | plant | rodent | squirrel
12725,32,apron | food | person | man | stand | stool | waiter
25319,48,bathroom sink | game controller | toy
32231,85,building | car | image
6080,36,animal | cage | guinea pig | hamster | mouse | pet | rodent | stand
15062,63,animal | baby elephant | dirt field | floor | gray | rhinoceros | stand | steam | walk
15336,13,blue | bus station | bus stop | canopy | car | park | shelter
48044,48,car | dirt bike | garage | motorbike | motorcycle | motorcyclist | park
48990,78,catch | close-up | electronic | hand | person | key | pet | remote
30708,28,coffee cup | counter top | table | mug | office supply | sit | table top | toothpaste | white
32319,80,animal | cage | enclosure | figurine | food | gray | squirrel | stand | toy
29610,42,animal | brown | brown bear | floor | log | paw | stone | sit | stuff | teddy | tree | tree trunk
36882,30,animal | aquarium | dolphin | marine | sea | pod | sea lion | seal | tank | swim | underwater | water | whale
1357,48,dirt bike | motorbike | motorcycle | park
11334,98,black | chair | computer | table | dress | girl | hair | office supply | sit | stool | woman
35578,60,animal | grassland | plain | savanna | sky | stand
27928,60,balloon | field | grassland | hot | lush | plain | savanna | sky | wheat field
19361,94,green | park
38273,79,bathroom sink | counter top | kitchen counter | kitchen sink | sink | woman
23273,24,astronaut | face | goggles | green | man | wear
8318,63,boulder | gray | stone
28278,43,animal | brown | dog | field | grass | grassy | lion | lush | stand | stare
7008,58,ambulance | blue | car | city bus | drive | license plate | road | tow truck
47401,29,animal | baby elephant | elephant | stand | stool | toy
27269,30,animal | dolphin | fish | sea | pod | swim | swimmer | water | whale
13480,90,car | drive | highway | green | race | road | toy car
40105,68,driveway | path | road | rural | tree
1373,64,animal | pig | cage | enclosure | fence | hippo | pen | rail | stand | zoo
30871,78,
42357,34,animal | chase | fox | jump | red | stool | tail
44959,22,clock | table | footstall
26682,29,animal | figurine | miniature | toy
41167,70,bouquet | close-up | flower | pink | rose | stem
33975,77,bug | caterpillar | leaf | green | hide | plant | slug | snail | stem | worm
44296,13,car | drive | license plate | road | trailer truck | truck
22751,59,container | green | lush | park | plant | pot | tree
25105,80,floor | lush | park | park bench | squirrel | tree
11433,77,container | display | food | fruit | onion | orange | produce | squash | tangerine | vegetable
12042,21,animal | ape | toilet paper | catch | chimpanzee | monkey | orangutan | sculpture | selfie
44181,14,animal | goggles
21661,40,lamp | bureau | drawer | dresser | shop window | white
47327,94,armoire | cabinet | closet | dresser | floor | room | stool
26686,78,chair | green | plant
38883,52,green | lush | park | tree
11357,72,animal | brown | green | pool | swim | swimmer | water
19884,22,building | car | chair | stool
37132,5,bed | bedcover | bedroom | bedding | blanket | lamp | comfort | floor | pillow | pink | potato | quilt | red | room
10634,83,bean | catch | fill | food | fruit | pepper | produce | red | vegetable
27731,34,animal | brown | sheepdog | dog | field | floor | grass | grassy | lush | stand | white
29645,57,apple | fruit | green | pear | yellow
49531,47,pink | red | tree
41871,91,bass | blowfish | fish | white
42169,91,ax | blade | kitchen knife | grass | lush | machete | saw | sword | tool | tree | tree trunk | wood
28114,77,acorn | bud | chestnut | cotton | fungi | grow | lush | nut | plant | snail | stem | tree
40459,53,banana | catch | hand | fruit | person | orange | peel | yellow
32756,73,animal | aquarium | blue | dolphin | fin | grampus | sea | shark | stingray | tank | swim | underwater | water | whale | white
40871,25,armchair | couch | doll | floor | hardwood floor | living room | pillow | red | room | toy | wood floor
29755,16,cylinder | liquid | yellow
33960,19,animal | brown | catch | floor | pet | woman
8167,62,close-up | flower | grass | green | lush | petal | poppy | purple | red
34987,29,animal | yellow
6527,36,animal | cage | floor | gray | guinea pig | hamster | mouse | pet | rodent | white
11085,55,animal | bagel | donut | float | glaze | sea | otter | pool | seal | swim | swimmer | water
3358,77,fighter jet | bat | blue | fly | man | sky
32390,94,bookshelf | pillar
36307,58,building | car | car show | drive | park | pick up | red
14627,90,blue | passenger train | subway | train | train track | trolley
14292,93,animal | blue | image | marine | sea | sea turtle | tank | swim | swimmer | turtle | whale
9333,56,sea | palm tree | sky
36508,67,face | man | selfie | stare
20532,49,cloud | cloudy | mountain | skier | sky
22404,53,citrus fruit | fruit | orange | tangerine
25168,81,black | bus | bus stop | city bus | decker bus | drive | image | park | photo | road | school bus | white
28266,52,green | lush | park | tree
25673,11,boy | catch | girl | greenery | shirt | shirtless | smile | woman
8805,60,field | grass | grassland | sky | wheat field
13213,66,animal | brown | climb | food | hide | lemur | plant | raccoon | red panda | tree | tree trunk
10915,86,appliance | blender | coffee machine | home appliance | liquid | mixer
8940,99,chair | stool | white
3917,31,animal | close-up | face | head | nose | selfie | stare
44946,70,flower | pink | rose | stem | white
39423,1,animal | car | goldfish
6500,77,clam | conch | trumpet | floor | nut | onion | pavement | seashell | shell | slug | snail
23836,67,animal | blue | laboratory | liquid | stare | test tube
5904,82,daisy | flower | plant | stem | sunflower | yellow
9047,14,bird | bush | butterfly | butterfly house | flower | garden | green | greenery | hide | lettuce | lush | nectar | orange tree | perch | plant | red | vegetation
23399,0,apple | green | yellow
3592,5,bathroom accessory | bed | bedroom | chair | dresser | floor | hardwood floor | nightstand | pillow | room | wood floor | yellow
4533,27,animal | baseball glove | catch | food | man
45589,76,building | man | office building | pole | selfie | sky | stand
38367,48,bicycle | blue | dirt bike | moped | motorbike | motorcycle | park | scooter | tricycle
25998,44,animal | baseball bat | bat | catch | floor | teddy | toy
9427,13,ambulance | bus | camper | cart | city bus | drive | person | man | recreational vehicle | ride | road | schooner | scooter | vehicle
868,37,building | sky
43180,9,bottle | table | liquid | shelf | toothpaste | water
49883,57,apple | table | fruit | pear | stem
37069,37,estate | home | house | house exterior | lawn
10431,44,animal | cake | catch | hand | food | frosting | person | icing | pet | toy | treat
23271,12,blue | pole | road sign | sign | stop sign | street corner | street sign | traffic sign
14137,68,dirt road | forest | forest road | green | image | road | rural | tree | wood
21362,91,blowfish | catfish | fish | hook | yellow
45247,84,chair | table | dinning table | floor | kitchen table | room | stool
40995,21,animal | bear | black | chimpanzee | stand | stool
9259,56,palm tree | street sign | tree | yellow
29027,15,animal | boy | child | saddle | stand
39054,56,blue | coconut tree | sea | palm tree | sky
34600,36,animal | cage | guinea pig | hamster | hide | pet | pillow | rodent
40003,56,person | image | man | skateboarder | tree
30621,0,apple | fruit | peach | red | stem
43114,24,beetle | bug | close-up | roach | grasshopper | insect | moth | yellow
48187,94,appliance | bookshelf | closet | home appliance | room | stool
25188,69,pad | fly | launch | lift | missile | mission | rocket | satellite | sky | space shuttle | spacecraft
37980,38,animal | roll | chase | dog | floor | grass | green | lay | lush
36763,62,cock | comb | flower | plant | red | stem
4532,55,animal | brown | doll | pet | stuff | teddy | toy
19089,1,baseball glove | green | man | tennis player | tennis racket
32709,23,car | car window | cloud | cloudy | sky | tree | windshield
134,20,lamp | chair | floor | room | stool | white | wood floor
48500,61,logo
30418,79,chair | floor | miniature | stool | unicorn | white
22605,22,alarm | alarm clock | clock | red
4123,65,animal | cage | pet | stand | stare | tennis racket | white
49093,52,grass | grassy | green | lush | park | park bench | sky | tree
48926,4,animal | bear cub | brown | brown bear | neckband | paw | rodent | tree
5603,36,animal | beak | bird | cage | canary | leash | neckband | parrot | perch | pet | sit | tree | yellow
18611,36,animal | brown | cage | guinea pig | hamster | mouse | nose | pet | rodent
1054,7,beak | beetle | bird | branch | bug | caterpillar | green | insect | parrot | perch | plant | red | sit
20546,90,pass | passenger train | railroad | track | train | train track | travel
11854,68,car | car window | highway | rearview mirror | road | rural | stretch | view mirror | windshield
87,77,fruit | hang | snail | yellow
48022,47,golf course | green | lush | park | sky | tree
35930,52,baseball glove | bat | green | lush | man | park | sky | tree
41600,10,table | glass bowl | glass vase | green | paperweight | surface | table top | white
20969,75,animal | black | carpet | floor | lay | paw | pug | remote | white
34831,42,cat | leash | neckband | paw | pet | stare | tabby
23808,86,electronic | home appliance | radio | speaker | stereo
39334,95,animal | bird | black | crow | floor | fly | hook | magpie | pigeon | sky | tail
3436,17,building | castle | palace | sky
26170,17,building | pillar | lush | sky | white house
44649,43,animal | brown | dog | leash | stare
31873,2,baby | brush | child | girl | green | jumpsuit | pink | play | sleepwear | slide | stand | toddler | toy
34282,69,sky | spray | sprinkler | tank | wheat field
47156,96,animal | green | lush | moose | stand | tree
32335,74,animal | black | cat | floor | food | stand | walk | white
21355,12,boat | building | glass wall | office building | train window | window
9093,76,building | car
36599,52,car | park | skateboarder | tree
26840,63,animal | bird bath | bird feeder | plate | floor | food | grass | gray | plant | squirrel | stand | toy
12247,44,animal | chair | sky
29832,3,black | cat | couple | sit | stand | stare
4167,14,animal | cage | floor | leash | neckband | pet
32897,95,beak | sea | swim | swimmer | water | white
44466,37,building | home | house | house exterior | hut | lush | tree | wood
15035,5,armchair | bed | bed frame | chair | daybed | pad | furniture | headboard | pillow | room
4937,99,pole | road sign | sign | street sign | tennis racket | traffic sign
49059,95,animal | dolphin | fin | grampus | sea | pod | sea lion | seal | sky | stingray | swim | water | whale
22720,65,animal | brown | dog | doll | dress | pet | pillow | pink | toy | wear
4470,58,car | park | pick up | toy car | truck | white
10340,39,baseball glove | man | racket | tennis player | tennis racket
20528,78,animal | enclosure | giraffe | hide | stand | tortoise | turtle
34743,4,animal | hand | food | man | pet
42591,47,sky | stop sign | street sign
45536,86,attach | electronic | electric outlet | plug | remote | white
36717,12,balustrade | boardwalk | chimney | rail | water
20207,59,man | motorcycle | snow
23471,68,car | dirt road | dirt track | motorcycle | road | rural | tree
33000,54,flower | orchid | stem | white
43622,57,blender | bottle | lamp | green | liquid | toy | yellow
7190,76,building | office building | sky | spire
32695,93,animal | fish | man
15836,91,bass | ceiling | fish | hang | hook | pole | wood wall
27943,18,animal | doll | figurine | tail | toy
36966,7,leaf | green | greenery | plant | red | stem
14118,55,animal | grass | gray | green | hide | pet | white
24779,42,animal | bear | brown | brown bear | display | figurine | sculpture | showcase | stool | stuff | toy
31403,39,
37804,96,animal | green | greenery | lush | tree | woodpecker
2323,65,animal | bunny | ear | floor | pet | rabbit | stand | stare | white
5192,25,armchair | chair | daybed | table | room | stool | yellow
6760,45,cross | display | figurine | gecko
9110,40,lamp | catch | computer | person | laptop | man | stool | woman
25604,33,man | skateboarder | tree
42796,42,animal | brown | cage | fence | head | neckband | stare
2454,19,animal | bull | cloudy | trumpet | grass | grassy | lamb | lush | ram | sheep | sky | stand
27511,28,cloud | cloudy | dark | image | sky
11814,80,animal | gecko | lizard | neckband | pet | tie | white
6787,63,animal | grass | green | hide | lush
13661,72,animal | beak | bird | black | cage | crow | enclosure | stand | zoo
6402,75,animal | dog | grass | green | hide | lush | nose | white
25560,55,curl | pad | floor | lay | pillow | purple | sleep | stretch
13021,79,beetle | blue | bug | close-up | insect | parrot | pink | spider
35323,46,blue | bookshelf | bowling alley | game controller | man | remote | room | shirt | stand | Wii
42458,17,building | castle | hill | hillside | tower
